         2094 function calls in 0.003 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.003    0.001 C:\DATA\BPLAPractise\BPLAFinalCert\BPLAFinalCert\final_cert_srv2.py:87(process_client_data)
       12    0.000    0.000    0.001    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:2133(info)
       12    0.000    0.000    0.001    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1479(info)
       12    0.000    0.000    0.001    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1610(_log)
        6    0.000    0.000    0.001    0.000 C:\DATA\BPLAPractise\BPLAFinalCert\BPLAFinalCert\.venv\Lib\site-packages\websockets\legacy\protocol.py:576(send)
        6    0.000    0.000    0.001    0.000 C:\DATA\BPLAPractise\BPLAFinalCert\BPLAFinalCert\.venv\Lib\site-packages\websockets\legacy\protocol.py:1192(write_frame)
        6    0.000    0.000    0.001    0.000 C:\DATA\BPLAPractise\BPLAFinalCert\BPLAFinalCert\.venv\Lib\site-packages\websockets\legacy\protocol.py:1167(write_frame_sync)
        6    0.000    0.000    0.001    0.000 C:\DATA\BPLAPractise\BPLAFinalCert\BPLAFinalCert\.venv\Lib\site-packages\websockets\legacy\framing.py:120(write)
        3    0.000    0.000    0.001    0.000 C:\DATA\BPLAPractise\BPLAFinalCert\BPLAFinalCert\final_cert_srv2.py:59(notify_users)
        4    0.000    0.000    0.001    0.000 C:\DATA\BPLAPractise\BPLAFinalCert\BPLAFinalCert\.venv\Lib\site-packages\async_timeout\__init__.py:113(__enter__)
        4    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       12    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1595(makeRecord)
        1    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\warnings.py:97(_showwarnmsg)
        1    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\warnings.py:118(_formatwarnmsg)
       12    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:292(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\zubkove\AppData\Local\Programs\Python\Python311\Lib\warnings.py:35(_formatwarnmsg_impl)
